repetition,scenario,family,attack,assumption_status,defense,truth_at_dispatch,verdict,payment_effect,unauthorized_payment,benign_completed,queries,query_cost,latency_ms,reason,ap2_verified
0,benign_standard,benign,0,within_model,AP2_ONLY,1,ALLOW,1,0,1,0,0,3.6227,trusted agent semantic field,1
0,benign_standard,benign,0,within_model,MAJORITY,1,ALLOW,1,0,1,5,14,50.1682,provenance-blind signed majority,1
0,benign_standard,benign,0,within_model,TTL,1,ALLOW,1,0,1,0,0,2.7712,fixed-window evidence reuse,1
0,benign_standard,benign,0,within_model,FULL,1,ALLOW,1,0,1,5,14,18.607,full provenance-aware refresh,1
0,benign_standard,benign,0,within_model,CWR,1,ALLOW,1,0,1,0,0,32.2143,minimum-cost positive witness repair,1
0,benign_standard,benign,0,within_model,DFMR,1,ALLOW,1,0,1,0,0,2.7023,decision-flip margin repair,1
0,benign_cached,benign,0,within_model,AP2_ONLY,1,ALLOW,1,0,1,0,0,2.5059,trusted agent semantic field,1
0,benign_cached,benign,0,within_model,MAJORITY,1,ALLOW,1,0,1,5,14,45.5246,provenance-blind signed majority,1
0,benign_cached,benign,0,within_model,TTL,1,ALLOW,1,0,1,0,0,2.3986,fixed-window evidence reuse,1
0,benign_cached,benign,0,within_model,FULL,1,ALLOW,1,0,1,5,14,44.8875,full provenance-aware refresh,1
0,benign_cached,benign,0,within_model,CWR,1,ALLOW,1,0,1,0,0,13.5008,minimum-cost positive witness repair,1
0,benign_cached,benign,0,within_model,DFMR,1,ALLOW,1,0,1,0,0,2.4356,decision-flip margin repair,1
0,benign_one_source_outage,outage,0,within_model,AP2_ONLY,1,ALLOW,1,0,1,0,0,14.097,trusted agent semantic field,1
0,benign_one_source_outage,outage,0,within_model,MAJORITY,1,ALLOW,1,0,1,5,14,26.229,provenance-blind signed majority,1
0,benign_one_source_outage,outage,0,within_model,TTL,1,ALLOW,1,0,1,0,0,2.4123,fixed-window evidence reuse,1
0,benign_one_source_outage,outage,0,within_model,FULL,1,ALLOW,1,0,1,5,14,21.6476,full provenance-aware refresh,1
0,benign_one_source_outage,outage,0,within_model,CWR,1,ALLOW,1,0,1,0,0,2.3444,minimum-cost positive witness repair,1
0,benign_one_source_outage,outage,0,within_model,DFMR,1,ALLOW,1,0,1,0,0,2.9285,decision-flip margin repair,1
0,benign_two_independent_outages,outage,0,within_model,AP2_ONLY,1,ALLOW,1,0,1,0,0,3.0889,trusted agent semantic field,1
0,benign_two_independent_outages,outage,0,within_model,MAJORITY,1,ALLOW,1,0,1,5,14,12.3077,provenance-blind signed majority,1
0,benign_two_independent_outages,outage,0,within_model,TTL,1,ALLOW,1,0,1,0,0,2.581,fixed-window evidence reuse,1
0,benign_two_independent_outages,outage,0,within_model,FULL,1,STEP_UP,0,0,0,5,14,6.1228,full provenance-aware refresh,1
0,benign_two_independent_outages,outage,0,within_model,CWR,1,STEP_UP,0,0,0,3,10,4.2869,minimum-cost positive witness repair,1
0,benign_two_independent_outages,outage,0,within_model,DFMR,1,STEP_UP,0,0,0,5,14,10.0669,decision-flip margin repair,1
0,prompt_injection,prompt_injection,1,within_model,AP2_ONLY,0,ALLOW,1,1,0,0,0,2.5896,trusted agent semantic field,1
0,prompt_injection,prompt_injection,1,within_model,MAJORITY,0,ALLOW,1,1,0,5,14,47.4862,provenance-blind signed majority,1
0,prompt_injection,prompt_injection,1,within_model,TTL,0,DENY,0,0,0,0,0,1.7864,fixed-window evidence reuse,1
0,prompt_injection,prompt_injection,1,within_model,FULL,0,DENY,0,0,0,5,14,29.1264,full provenance-aware refresh,1
0,prompt_injection,prompt_injection,1,within_model,CWR,0,STEP_UP,0,0,0,3,10,43.2662,minimum-cost positive witness repair,1
0,prompt_injection,prompt_injection,1,within_model,DFMR,0,DENY,0,0,0,0,0,1.6138,decision-flip margin repair,1
0,role_tag_injection,prompt_injection,1,within_model,AP2_ONLY,0,ALLOW,1,1,0,0,0,12.9563,trusted agent semantic field,1
0,role_tag_injection,prompt_injection,1,within_model,MAJORITY,0,ALLOW,1,1,0,5,14,13.2857,provenance-blind signed majority,1
0,role_tag_injection,prompt_injection,1,within_model,TTL,0,DENY,0,0,0,0,0,1.6268,fixed-window evidence reuse,1
0,role_tag_injection,prompt_injection,1,within_model,FULL,0,DENY,0,0,0,5,14,23.0672,full provenance-aware refresh,1
0,role_tag_injection,prompt_injection,1,within_model,CWR,0,STEP_UP,0,0,0,3,10,12.6973,minimum-cost positive witness repair,1
0,role_tag_injection,prompt_injection,1,within_model,DFMR,0,DENY,0,0,0,3,10,45.8262,decision-flip margin repair,1
0,semantic_substitution,semantic_substitution,1,within_model,AP2_ONLY,0,ALLOW,1,1,0,0,0,3.2761,trusted agent semantic field,1
0,semantic_substitution,semantic_substitution,1,within_model,MAJORITY,0,ALLOW,1,1,0,5,14,6.5146,provenance-blind signed majority,1
0,semantic_substitution,semantic_substitution,1,within_model,TTL,0,DENY,0,0,0,0,0,1.6526,fixed-window evidence reuse,1
0,semantic_substitution,semantic_substitution,1,within_model,FULL,0,DENY,0,0,0,5,14,5.3335,full provenance-aware refresh,1
0,semantic_substitution,semantic_substitution,1,within_model,CWR,0,STEP_UP,0,0,0,3,10,27.6075,minimum-cost positive witness repair,1
0,semantic_substitution,semantic_substitution,1,within_model,DFMR,0,DENY,0,0,0,0,0,1.9161,decision-flip margin repair,1
0,shared_provenance,shared_provenance,1,within_model,AP2_ONLY,0,ALLOW,1,1,0,0,0,2.457,trusted agent semantic field,1
0,shared_provenance,shared_provenance,1,within_model,MAJORITY,0,ALLOW,1,1,0,5,14,13.1906,provenance-blind signed majority,1
0,shared_provenance,shared_provenance,1,within_model,TTL,0,DENY,0,0,0,0,0,1.6561,fixed-window evidence reuse,1
0,shared_provenance,shared_provenance,1,within_model,FULL,0,DENY,0,0,0,5,14,25.9878,full provenance-aware refresh,1
0,shared_provenance,shared_provenance,1,within_model,CWR,0,STEP_UP,0,0,0,3,10,15.8357,minimum-cost positive witness repair,1
0,shared_provenance,shared_provenance,1,within_model,DFMR,0,DENY,0,0,0,3,10,47.8061,decision-flip margin repair,1
0,stale_evidence,stale_evidence,1,within_model,AP2_ONLY,0,ALLOW,1,1,0,0,0,2.7831,trusted agent semantic field,1
0,stale_evidence,stale_evidence,1,within_model,MAJORITY,0,ALLOW,1,1,0,5,14,47.3979,provenance-blind signed majority,1
0,stale_evidence,stale_evidence,1,within_model,TTL,0,ALLOW,1,1,0,0,0,4.5326,fixed-window evidence reuse,1
0,stale_evidence,stale_evidence,1,within_model,FULL,0,DENY,0,0,0,5,14,9.3902,full provenance-aware refresh,1
0,stale_evidence,stale_evidence,1,within_model,CWR,0,STEP_UP,0,0,0,3,10,7.0008,minimum-cost positive witness repair,1
0,stale_evidence,stale_evidence,1,within_model,DFMR,0,DENY,0,0,0,3,10,13.7963,decision-flip margin repair,1
0,version_race,version_race,1,within_model,AP2_ONLY,0,ALLOW,1,1,0,0,0,4.5517,trusted agent semantic field,1
0,version_race,version_race,1,within_model,MAJORITY,0,STEP_UP,0,0,0,5,14,10.2361,version conflict at bound dispatch,1
0,version_race,version_race,1,within_model,TTL,0,ALLOW,1,1,0,0,0,4.8644,fixed-window evidence reuse,1
0,version_race,version_race,1,within_model,FULL,0,STEP_UP,0,0,0,5,14,9.8971,version conflict at bound dispatch,1
0,version_race,version_race,1,within_model,CWR,0,STEP_UP,0,0,0,0,0,3.0153,version conflict at bound dispatch,1
0,version_race,version_race,1,within_model,DFMR,0,STEP_UP,0,0,0,0,0,2.8744,version conflict at bound dispatch,1
