repetition,scenario,defense,attack,assumption_status,simulated_confirmation_latency_s,simulated_confirmation_resolved
0,benign_two_independent_outages,FULL,0,within_model,115.9183,1
0,benign_two_independent_outages,CWR,0,within_model,82.9378,1
0,benign_two_independent_outages,DFMR,0,within_model,72.5727,0
0,prompt_injection,CWR,1,within_model,117.9718,1
0,role_tag_injection,CWR,1,within_model,34.4717,1
0,semantic_substitution,CWR,1,within_model,26.2376,1
0,shared_provenance,CWR,1,within_model,73.1055,1
0,stale_evidence,CWR,1,within_model,131.6549,1
0,version_race,MAJORITY,1,within_model,66.4925,1
0,version_race,FULL,1,within_model,70.585,1
0,version_race,CWR,1,within_model,28.0399,0
0,version_race,DFMR,1,within_model,82.007,1
0,evidence_denial,FULL,1,within_model,59.7474,1
0,evidence_denial,CWR,1,within_model,197.9114,1
0,evidence_denial,DFMR,1,within_model,94.7618,1
0,evidence_signature_tampering,FULL,1,within_model,28.6158,1
0,evidence_signature_tampering,CWR,1,within_model,114.3606,1
0,evidence_signature_tampering,DFMR,1,within_model,48.7392,1
0,hidden_shared_dependency,FULL,1,violated:incomplete_provenance,37.5769,1
1,benign_two_independent_outages,FULL,0,within_model,4.2005,1
1,benign_two_independent_outages,CWR,0,within_model,19.1432,1
1,benign_two_independent_outages,DFMR,0,within_model,63.0819,1
1,prompt_injection,CWR,1,within_model,42.087,1
1,role_tag_injection,CWR,1,within_model,13.6464,1
1,semantic_substitution,CWR,1,within_model,18.0346,1
1,shared_provenance,CWR,1,within_model,35.4532,0
1,stale_evidence,CWR,1,within_model,36.6532,1
1,version_race,MAJORITY,1,within_model,297.5445,1
1,version_race,FULL,1,within_model,24.3724,1
1,version_race,CWR,1,within_model,31.8275,1
1,version_race,DFMR,1,within_model,44.5619,1
1,evidence_denial,FULL,1,within_model,112.3791,1
1,evidence_denial,CWR,1,within_model,27.1142,1
1,evidence_denial,DFMR,1,within_model,8.7154,1
1,evidence_signature_tampering,FULL,1,within_model,46.5039,1
1,evidence_signature_tampering,CWR,1,within_model,38.4836,1
1,evidence_signature_tampering,DFMR,1,within_model,33.2518,1
1,hidden_shared_dependency,FULL,1,violated:incomplete_provenance,51.5664,1
2,benign_two_independent_outages,FULL,0,within_model,6.7431,1
2,benign_two_independent_outages,CWR,0,within_model,161.8958,1
2,benign_two_independent_outages,DFMR,0,within_model,114.9323,1
2,prompt_injection,CWR,1,within_model,54.9083,1
2,role_tag_injection,CWR,1,within_model,26.9279,1
2,semantic_substitution,CWR,1,within_model,58.7476,0
2,shared_provenance,CWR,1,within_model,39.0912,1
2,stale_evidence,CWR,1,within_model,154.5497,1
2,version_race,MAJORITY,1,within_model,14.8743,1
2,version_race,FULL,1,within_model,40.5664,1
2,version_race,CWR,1,within_model,38.4903,1
2,version_race,DFMR,1,within_model,145.0942,1
2,evidence_denial,FULL,1,within_model,180.4144,1
2,evidence_denial,CWR,1,within_model,49.7573,1
2,evidence_denial,DFMR,1,within_model,70.6537,1
2,evidence_signature_tampering,FULL,1,within_model,41.489,1
2,evidence_signature_tampering,CWR,1,within_model,127.9025,1
2,evidence_signature_tampering,DFMR,1,within_model,52.29,1
2,hidden_shared_dependency,FULL,1,violated:incomplete_provenance,236.9932,1
